year,fips_code,county_name,cropname,crop_category,yldunits,yield_value,prcp_1,prcp_2,prcp_3,prcp_4,prcp_5,prcp_6,prcp_7,prcp_8,prcp_9,prcp_10,prcp_11,prcp_12,tmax_1,tmax_2,tmax_3,tmax_4,tmax_5,tmax_6,tmax_7,tmax_8,tmax_9,tmax_10,tmax_11,tmax_12,tmin_1,tmin_2,tmin_3,tmin_4,tmin_5,tmin_6,tmin_7,tmin_8,tmin_9,tmin_10,tmin_11,tmin_12,elev_r,slope_r,hzdept_r,hzdepb_r,ph1to1h2o_r,om_r,ec_r,cec7_r,awc_r,taxorder_Alfisols,taxorder_Aridisols,taxorder_Entisols,taxorder_Inceptisols,taxorder_Mollisols,taxorder_Vertisols,drainagecl_Moderately well drained,drainagecl_Poorly drained,drainagecl_Somewhat poorly drained,drainagecl_Well drained
2017,48011,ARMSTRONG,CORN,CEREAL GRAINS,BU / ACRE,150.9,9.9,1.0208835341365463,7.1,2.170930232558139,4.687420382165605,3.213492063492063,2.171654553227876,2.538059819591708,2.721158154121864,2.52192108409725,1.9392479912201623,1.259846547314578,14.28924731182796,17.17920353982301,22.11014705882353,25.350675675675674,29.39120234604106,33.333590138674886,35.165517241379305,35.077777777777776,32.13001686340641,27.40801886792453,20.748314606741573,17.024193548387096,0.8986774430565762,2.8799011532125207,8.123100775193798,11.823842065299925,17.126551724137933,21.41784615384616,22.9125,22.758064516129032,19.55181842916742,13.324411764705882,7.428062015503876,3.824925373134328,899.7277777777779,4.157407407407407,0.0,23.98148148148148,7.71111111111111,1.5664814814814816,0.6648148148148147,17.333333333333332,0.1524074074074074,False,False,False,False,True,False,False,False,False,True
2016,48011,ARMSTRONG,CORN,CEREAL GRAINS,BU / ACRE,176.3,9.9,1.0208835341365463,7.1,2.170930232558139,4.687420382165605,3.213492063492063,2.171654553227876,2.538059819591708,2.721158154121864,2.52192108409725,1.9392479912201623,1.259846547314578,14.28924731182796,17.17920353982301,22.11014705882353,25.350675675675674,29.39120234604106,33.333590138674886,35.165517241379305,35.077777777777776,32.13001686340641,27.40801886792453,20.748314606741573,17.024193548387096,0.8986774430565762,2.8799011532125207,8.123100775193798,11.823842065299925,17.126551724137933,21.41784615384616,22.9125,22.758064516129032,19.55181842916742,13.324411764705882,7.428062015503876,3.824925373134328,899.7277777777779,4.157407407407407,0.0,23.98148148148148,7.71111111111111,1.5664814814814816,0.6648148148148147,17.333333333333332,0.1524074074074074,False,False,False,False,True,False,False,False,False,True
2015,48011,ARMSTRONG,CORN,CEREAL GRAINS,BU / ACRE,193.2,9.9,1.0208835341365463,7.1,2.170930232558139,4.687420382165605,3.213492063492063,2.171654553227876,2.538059819591708,2.721158154121864,2.52192108409725,1.9392479912201623,1.259846547314578,14.28924731182796,17.17920353982301,22.11014705882353,25.350675675675674,29.39120234604106,33.333590138674886,35.165517241379305,35.077777777777776,32.13001686340641,27.40801886792453,20.748314606741573,17.024193548387096,0.8986774430565762,2.8799011532125207,8.123100775193798,11.823842065299925,17.126551724137933,21.41784615384616,22.9125,22.758064516129032,19.55181842916742,13.324411764705882,7.428062015503876,3.824925373134328,899.7277777777779,4.157407407407407,0.0,23.98148148148148,7.71111111111111,1.5664814814814816,0.6648148148148147,17.333333333333332,0.1524074074074074,False,False,False,False,True,False,False,False,False,True
2017,48045,BRISCOE,CORN,CEREAL GRAINS,BU / ACRE,176.5,1.941525423728813,1.8453271028037384,3.25,5.484912280701755,9.140723453908985,7.5679890560875505,5.181694402420574,7.326592797783934,7.074367088607595,4.371955128205128,4.282995951417004,2.515766738660907,10.417085427135678,13.763661202185792,19.22059553349876,22.68641025641025,26.96575682382134,32.13461538461539,34.415288220551375,34.099007444168734,30.36435897435897,24.64739454094293,17.832390745501286,13.850877192982455,-4.789866666666667,-3.38,2.2760204081632653,6.554068241469817,11.995918367346938,18.03560209424084,19.93224181360201,19.37989949748744,15.464736842105262,8.69769820971867,2.0977401129943503,-2.1052341597796143,856.346875,7.1953125,0.0,35.625,7.785483870967742,1.5183870967741937,0.7129032258064517,18.09354838709677,0.1396875,False,False,False,False,True,False,False,False,False,True
2016,48045,BRISCOE,CORN,CEREAL GRAINS,BU / ACRE,93.9,1.941525423728813,1.8453271028037384,3.25,5.484912280701755,9.140723453908985,7.5679890560875505,5.181694402420574,7.326592797783934,7.074367088607595,4.371955128205128,4.282995951417004,2.515766738660907,10.417085427135678,13.763661202185792,19.22059553349876,22.68641025641025,26.96575682382134,32.13461538461539,34.415288220551375,34.099007444168734,30.36435897435897,24.64739454094293,17.832390745501286,13.850877192982455,-4.789866666666667,-3.38,2.2760204081632653,6.554068241469817,11.995918367346938,18.03560209424084,19.93224181360201,19.37989949748744,15.464736842105262,8.69769820971867,2.0977401129943503,-2.1052341597796143,856.346875,7.1953125,0.0,35.625,7.785483870967742,1.5183870967741937,0.7129032258064517,18.09354838709677,0.1396875,False,False,False,False,True,False,False,False,False,True
2015,48045,BRISCOE,CORN,CEREAL GRAINS,BU / ACRE,108.1,1.941525423728813,1.8453271028037384,3.25,5.484912280701755,9.140723453908985,7.5679890560875505,5.181694402420574,7.326592797783934,7.074367088607595,4.371955128205128,4.282995951417004,2.515766738660907,10.417085427135678,13.763661202185792,19.22059553349876,22.68641025641025,26.96575682382134,32.13461538461539,34.415288220551375,34.099007444168734,30.36435897435897,24.64739454094293,17.832390745501286,13.850877192982455,-4.789866666666667,-3.38,2.2760204081632653,6.554068241469817,11.995918367346938,18.03560209424084,19.93224181360201,19.37989949748744,15.464736842105262,8.69769820971867,2.0977401129943503,-2.1052341597796143,856.346875,7.1953125,0.0,35.625,7.785483870967742,1.5183870967741937,0.7129032258064517,18.09354838709677,0.1396875,False,False,False,False,True,False,False,False,False,True
2024,48065,CARSON,CORN,CEREAL GRAINS,BU / ACRE,181.8,0.4911290322580645,0.5530973451327433,0.8548387096774194,1.5391812865497077,3.9848101265822784,3.682876712328767,3.4285714285714284,6.224468085106382,1.873109243697479,1.6724409448818895,0.8645833333333334,0.9008064516129032,10.56,15.974358974358974,20.65274725274725,22.83292682926829,25.12386363636364,31.77439024390244,33.96363636363636,31.153086419753087,29.40875,25.15344827586207,18.67659574468085,12.4,-4.091764705882353,-1.5367088607594936,2.436263736263736,6.61219512195122,9.985227272727274,17.382926829268293,19.28068181818182,17.787654320987652,15.0225,9.70689655172414,2.772340425531915,-3.307407407407408,1006.9270833333334,7.141666666666667,0.0,31.479166666666668,7.776086956521738,1.7639130434782608,0.7456521739130436,18.097826086956523,0.1474468085106383,False,False,False,False,True,False,False,False,False,True
2021,48065,CARSON,CORN,CEREAL GRAINS,BU / ACRE,220.4,0.4911290322580645,0.5530973451327433,0.8548387096774194,1.5391812865497077,3.9848101265822784,3.682876712328767,3.4285714285714284,6.224468085106382,1.873109243697479,1.6724409448818895,0.8645833333333334,0.9008064516129032,10.56,15.974358974358974,20.65274725274725,22.83292682926829,25.12386363636364,31.77439024390244,33.96363636363636,31.153086419753087,29.40875,25.15344827586207,18.67659574468085,12.4,-4.091764705882353,-1.5367088607594936,2.436263736263736,6.61219512195122,9.985227272727274,17.382926829268293,19.28068181818182,17.787654320987652,15.0225,9.70689655172414,2.772340425531915,-3.307407407407408,1006.9270833333334,7.141666666666667,0.0,31.479166666666668,7.776086956521738,1.7639130434782608,0.7456521739130436,18.097826086956523,0.1474468085106383,False,False,False,False,True,False,False,False,False,True
2019,48065,CARSON,CORN,CEREAL GRAINS,BU / ACRE,177.3,0.4911290322580645,0.5530973451327433,0.8548387096774194,1.5391812865497077,3.9848101265822784,3.682876712328767,3.4285714285714284,6.224468085106382,1.873109243697479,1.6724409448818895,0.8645833333333334,0.9008064516129032,10.56,15.974358974358974,20.65274725274725,22.83292682926829,25.12386363636364,31.77439024390244,33.96363636363636,31.153086419753087,29.40875,25.15344827586207,18.67659574468085,12.4,-4.091764705882353,-1.5367088607594936,2.436263736263736,6.61219512195122,9.985227272727274,17.382926829268293,19.28068181818182,17.787654320987652,15.0225,9.70689655172414,2.772340425531915,-3.307407407407408,1006.9270833333334,7.141666666666667,0.0,31.479166666666668,7.776086956521738,1.7639130434782608,0.7456521739130436,18.097826086956523,0.1474468085106383,False,False,False,False,True,False,False,False,False,True
2017,48065,CARSON,CORN,CEREAL GRAINS,BU / ACRE,187.8,0.4911290322580645,0.5530973451327433,0.8548387096774194,1.5391812865497077,3.9848101265822784,3.682876712328767,3.4285714285714284,6.224468085106382,1.873109243697479,1.6724409448818895,0.8645833333333334,0.9008064516129032,10.56,15.974358974358974,20.65274725274725,22.83292682926829,25.12386363636364,31.77439024390244,33.96363636363636,31.153086419753087,29.40875,25.15344827586207,18.67659574468085,12.4,-4.091764705882353,-1.5367088607594936,2.436263736263736,6.61219512195122,9.985227272727274,17.382926829268293,19.28068181818182,17.787654320987652,15.0225,9.70689655172414,2.772340425531915,-3.307407407407408,1006.9270833333334,7.141666666666667,0.0,31.479166666666668,7.776086956521738,1.7639130434782608,0.7456521739130436,18.097826086956523,0.1474468085106383,False,False,False,False,True,False,False,False,False,True
